0,	-0.050215,	0.000000
1,	1.100891,	0.737245
2,	-0.074035,	-0.038236
3,	-0.265505,	0.247470
4,	-0.059715,	0.000000
5,	-0.983958,	-0.737060
6,	-0.049531,	0.038236
7,	0.382068,	-0.247655
8,	0.008750,	0.000000
9,	2.163994,	0.941938
10,	-0.089951,	-0.034347
11,	0.418111,	0.316243
12,	-0.063269,	0.000000
13,	-0.499950,	-0.941772
14,	-0.067939,	0.034347
15,	1.245601,	-0.316410
16,	-0.021154,	0.000000
17,	1.665644,	0.856668
18,	-0.083660,	-0.037030
19,	0.077855,	0.287589
20,	-0.062743,	0.000000
21,	-0.757044,	-0.856489
22,	-0.059930,	0.037030
23,	0.830387,	-0.287769
24,	0.038306,	0.000000
25,	2.576072,	0.989656
26,	-0.092655,	-0.030295
27,	0.741698,	0.332290
28,	-0.061273,	0.000000
29,	-0.222925,	-0.989510
30,	-0.073240,	0.030295
31,	1.611156,	-0.332436
