0,	-0.001194,	0.058366
1,	0.197741,	0.000455
2,	0.388660,	0.255504
3,	0.564011,	0.000455
4,	0.716824,	0.442454
5,	0.841021,	0.000454
6,	0.931658,	0.611761
7,	0.985128,	0.000454
8,	0.999304,	0.756672
9,	0.973624,	0.000454
10,	0.909115,	0.871410
11,	0.808351,	0.000454
12,	0.675352,	0.951397
13,	0.515422,	0.000454
14,	0.334939,	0.993442
15,	0.141100,	0.000454
16,	-0.058366,	0.995867
17,	-0.255504,	0.000454
18,	-0.442454,	0.958571
19,	-0.611761,	0.000453
20,	-0.756672,	0.883037
21,	-0.871410,	0.000453
22,	-0.951397,	0.772271
23,	-0.993442,	0.000453
24,	-0.995867,	0.630683
25,	-0.958571,	-0.008705
26,	-0.883037,	0.463907
27,	-0.772271,	0.000452
28,	-0.630683,	0.278575
29,	-0.463907,	0.000452
30,	-0.278575,	0.002564
31,	-0.082045,	0.000451
